@relation 'ant-1.7-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.Remove-R19,21-weka.filters.unsupervised.attribute.Remove-R11,13,15-16'

@attribute version numeric
@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute loc numeric
@attribute moa numeric
@attribute ic numeric
@attribute cbm numeric
@attribute max_cc numeric
@attribute bug numeric

@data
1.7,3,1,0,10,18,3,1,9,1,106,0,0,0,1,0
1.7,5,2,0,4,13,0,1,4,4,76,1,0,0,1,0
1.7,1,2,0,1,3,0,0,1,1,7,0,0,0,0,0
1.7,8,1,9,13,20,12,9,4,8,101,1,0,0,1,0
1.7,9,3,0,5,26,16,0,5,7,185,0,0,0,2,1
1.7,3,2,5,7,4,1,6,1,2,16,0,0,0,1,0
1.7,20,1,0,4,40,130,0,4,18,345,1,0,0,3,1
1.7,13,1,0,7,28,20,2,5,12,183,2,0,0,7,0
1.7,9,1,0,5,19,8,4,1,9,119,0,0,0,3,0
1.7,7,5,0,9,25,0,6,3,7,255,0,2,5,9,0
1.7,9,6,0,5,17,26,0,5,6,71,0,1,4,3,0
1.7,3,2,0,19,10,3,14,5,3,38,0,0,0,1,0
1.7,1,1,0,10,1,0,8,2,1,1,0,0,0,1,0
1.7,9,1,0,3,12,20,1,2,8,54,3,0,0,1,0
1.7,19,4,0,7,40,129,0,7,16,252,0,2,3,6,0
1.7,10,4,2,13,26,0,7,7,9,110,1,1,1,3,0
1.7,3,2,0,2,5,0,1,1,3,34,1,1,2,1,0
1.7,20,1,0,7,79,136,5,5,10,835,1,0,0,10,0
1.7,6,1,0,8,6,15,7,1,6,6,0,0,0,1,0
1.7,3,4,0,5,11,1,1,4,1,41,1,1,2,3,1
1.7,5,2,0,7,14,6,0,7,4,70,0,0,0,4,0
1.7,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0
1.7,11,2,0,7,26,0,5,2,11,181,0,0,0,1,0
1.7,3,4,0,5,15,3,0,5,2,51,0,1,1,2,0
